活动规则|Promotion Rules
充值|Recharge
使用|use
还没有内容哦|Oh no content
充值|Recharge
快捷导航|Quick Navigation
储值卡|stored value card
参与活动|participate
全部活动|bottom price
人参与|People involved
原价|Original Price
低价|bottom price
此处没有内容|There is no content here
快捷导航|Quick Navigation
砍价首页|Home bargain
悬浮菜单|Float Menu
砍价列表获取|Get bargain list
填写评论内容|Enter comment
晒图|blueprint
提交评论|submit comments
全部项目|All items
进行中|processing
已成功|succeeded
已失败|failed
全部项目|All items
进行中|processing
已成功|succeeded
已失败|failed
剩余时间|Time left
已筹资金|money raised
支持人|supporter
此处没有内容|There is no content here
快捷导航|Quick Navigation
微筹广场|WeiChou Plaza
微筹订单|WeiChou orders
微筹中心|WeiChou center
切换|Switch
异步数据|Asynchronous data
待付款|Pending payment
等待您的支持|Waiting for your support
请您赶快支付哦|Oh, please hurry to pay
已付款|Paid
下单成功|successfully ordered
欢迎下次光临|Always welcome
岁月无声|Silent years
已筹资金|money raised
支持人|supporter
支持|support
配送方式|Delivery Method
时间|time
支付方式|payment method
买家留言|Buyers message
订单号|order number
创建时间|Created
付款后显示|After payment display
付款时间|Payment time
发货后显示|Display after delivery
快递单号|tracking number
待付款|Pending payment
实付款|real payment
已取消|Cancelled
已付款|Paid
已发货|Shipped
已确认收货|It has confirm receipt
查看物流|View Logistics
快捷导航|Quick Navigation
微筹广场|WeiChou Plaza
微筹订单|WeiChou orders
微筹中心|WeiChou center
全部关注|All subscribe
进行中|processing
已成功|succeeded
已失败|failed
剩余时间|Time left
已筹资金|money raised
支持人|supporter
快捷导航|Quick Navigation
微筹广场|WeiChou Plaza
微筹订单|WeiChou orders
微筹中心|WeiChou center
我的订单|My Order
我的支持|My Support
我的关注|my followers
关于众筹|About Crowdfunding
意见反馈|Feedback
项目推荐|Recommended items
剩余时间|Time left
已筹资金|money raised
支持人|supporter
此处没有内容|There is no content here
首页|Home
微筹广场|WeiChou Plaza
微筹订单|WeiChou orders
微筹中心|WeiChou center
悬浮菜单|Float Menu
店铺信息商品滚动|store info product ticker
全部订单|All Orders
待支付|To be paid
待发货|to be delivered
待收货|Inbound
已完结|finished
订单状态|Order Status
订单号|order number
支持|support
合计|total
删除|delete
查看订单|check order
此处没有内容|There is no content here
首页|Home
微筹广场|WeiChou Plaza
微筹订单|WeiChou orders
微筹中心|WeiChou center
悬浮菜单|Float Menu
引用|Quote
异步数据|Asynchronous data
是否删除此订单|Remove this order
确定|confirm
取消|cancel
收货人|Receiver
请输入收货人姓名|Enter the name of the consignee
请输入收货人姓名|Enter the name of the consignee
手机号码|mobile number
请输入联系电话|Please enter contact phone number
手机号码格式不正确|The phone number is not formatted correctly
请输入联系电话|Please enter contact phone number
请选择所在地区|Please select your area
所在地区|Region
详细信息|details
详细地址|Address
请输入详细地址|Please enter the full address
保存|save
获取微信收货地址|Obtaining Wechat delivery address
地区选择|Select area
地区选择|Select area
快捷导航|Quick Navigation
收货地址|Shipping address
微信获取共享收货地址|Wechat to obtain a shared delivery address
配置注入|Configuration injection
事件注入|Event injection
用户成功拉去出地址|address successfully retrieved
用户拒绝授权获取共享收货地址|User refused to authorize to acess a shared delivery address
订购数量|Qty
订购描述|Order description
选填|Optional
联系人|Contact
邮箱地址|email address
联系电话|contact number
提交缺货登记|Out of stock 'registration
重置|Reset
快捷导航|Quick Navigation
评价|Evaluation
商品质量如何|How the quality of goods
大小合适么|What right size
快写下你的评价|Fast Write your review
分享给大家吧|For everyone to share it
图片信息|image information
上传照片|upload photos
图片放大|enlarge image
店铺服务评分|Store service score
商品相符|products match
卖家态度|Sellers attitude
发货速度|Delivery speed
人员态度|Staff attitude
评论成功|Comments Success
店铺服务评分|Store service score
已评价|reviewed
提交评论|submit comments
显示删除图片|Delete pictures
默认地址|default address
设为默认|set as Default
编辑|edit
删除|delete
新增收货人信息|Add consignee information
还没有收货地址哦|Oh no shipping address
点击添加一个收货地址|Click Add a shipping address
快捷导航|Quick Navigation
设置默认收获地址|Set the default address harvesting
设置成功|Setting Success
分享二维码|Share dimensional code
长按二维码发送给朋友|Long two-dimensional code to a friend
分成说明|Divided Description
下线人数|The number of offline
分成|Divided
下线人数|The number of offline
分成|Divided
我的推荐清单|My recommendation list
分成明细|Into details
推荐注册分成|Recommended registered into
订单分成|Orders divided
已分成|It has been split into
等待处理|Pending
此处没有内容|There is no content here
快捷导航|Quick Navigation
订单列表|Order List
数量|quantity 
库存|in stock
还没有收藏商品哦|Oh no collection of goods
正在加载|loading
店铺信息商品滚动|store info product ticker
加载更多|load more
正在加载|loading
没有更多了|No more
评价晒单|testimonial review
您还没有需要评价的订单哦|no have testimonial to review
快捷导航|Quick Navigation
已评价晒单|Testimonial has been reviewed
请输入旧密码|Please enter your old password
请输入新密码|Please enter a new password
确认输入新密码|Confirm Enter the new password
确认修改|Confirm the changes
快捷导航|Quick Navigation
账户安全|account security
新密码不能为空|The new password can not be empty
两次密码不一致|Passwords are not the same
商品|products
举报类型|Report Types
换货属性|Replacement attribute
举报主题|Report title
举报主题不能为空|Report title can not be empty
问题描述|Problem Description
请填写问题描述|Please fill in the description of issue
举报类型|Report Types
换货属性|Replacement attribute
举报主题|Report title
举报内容|Report content
图片信息|image information
上传凭证|upload certificate
图片放大|enlarge image
为了能够更快更好地解决问题|In order to be able to solve problems faster and better
请您上传与卖家沟通的记录图片或者其他证明图片|please upload proof of communication with buyers or other proof photos
服务说明|Service Description
请提供充分的证据以确保举报成功|Please provide sufficient evidence to ensure successful reporting
请珍惜您的会员权利|Please cherish your membership rights
帮助商城更好地管理网站|Help the mall to better manage the website
被举报待处理的商品不能反复进行违规提交|reported products awaiting processing cannot repeatedly report
处理下架后的商品不能再次举报|off-the-shelf products can't be reported again
商家如重新上架后仍存在违规现象|if the products still have violations after re-listing
可再次对该商品进行违规举报|You can report violations of this product again
举报仅针对商品|Report products only
如情节严重|If the situation is serious
再做处理|process again
举报时依次选择举报类型及举报主题|Choose the type of report and the subject of the report
必填|Mandatory
填写违规描述|Fill Violation Description
必填|Mandatory
上传|Upload
张以内的举证图片|pages limit of proof photos
选填|Optional
详细的举报内容有助于平台对该条举报的准确处理|Detailed info helps the platform to accurately handle the report
请客观地向商城反映您所遇到的真实情况|Please objectively reflect the real situation you encounter to the mall
以共同维护一个诚信和公平的购物环境|To jointly maintain an honest and fair shopping environment
取消举报|Cancel Report
删除|delete
确认提交|confirm submission
快捷导航|Quick Navigation
引用|Quote
单选|Single choice
取消举报|Cancel Report
是否确定删除|Are you sure you delete
确定|confirm
取消|cancel
显示删除图片|Delete pictures
请选择|please choose
在线客服|online agent
咨询客服|Contact Customer Service
快捷导航|Quick Navigation
个人资料|personal information
客户服务|customer service
帮助手册|Help Manual
快捷导航|Quick Navigation
个人资料|personal information
帮助中心|Help
购物流程图|Shopping flowchart.
如何注册|How to register
登录|log in
第一步|first step
打开|turn on
个人中心|Profile
进入右图登录页|Click on the right picture to login
未注册用户|Unregistered users
点击新用户注册|Click on New User Registration
第二步|The second step
打开|turn on
新用户注册|New User Registration
进入下图注册页|To enter the following registration page
有两种注册方式|There are two types of registration
快速注册和邮箱注册|Quick registration and email registration
快速注册|Fast Registration
输入验证码|Enter confirmation code
输入您的手机号|Enter your phone number
获取动态验证码|Obtain dynamic verification code
设置新密码即可|Set a new password
邮箱注册|email registration
输入您的用户名|Enter your user name
密码注册即可|Password Sign up to
第三步|third step
如果你已经注册过账号|If you have already registered an account
直接填写用户名和密码即可|Directly fill in the user name and password
新注册用户注册成功后默认已经登录您当前的账号|Newly registered users have already logged into your current account by default after successful registration
如何提交订单|How do I submit an order
第一步|first step
查找商品|Find Product
进入|enter
商城首页|Mall Homepage
在搜索栏输入您想要购买的商品|Enter a product you want to buy in the search bar
或在底部快捷导航分类中查找商品|Or find products at the bottom quick navigation category
如下图|As shown below
第二步|The second step
提交订单|Submit Order
进入|enter
商品页面|Product page
查看商品信息|View product information
选择好商品属性|Choose a good product attributes
点击加入购物车|Click Add to Cart
再点击下边的购物车|Then click below the cart
进入购物车去结算|go to cart to make payment
进入到|Go to
订单确认|Order Confirmation
填写好收货地址|Fill out the shipping address
选择支付方式和配送方式|Select Payment and Delivery
核实好订单信息后点提交订单|After verifying the order information, click Submit Order
这个样订单就提交成功了|This sample orders submitted successful
第三步|third step
去付款|To pay
如果是余额付款|If it is a balance payment
订单确认页面提交后就已经付款成功了|After the order confirmation page is submitted, the payment has been successful
如果你选择的其他的第三方支付|If you choose other third-party payment
订单提交后|After the order is submitted
点击你选择的付款方式进入付款即可|Click on your choice of payment method of payment to enter
第四步|the fourth step
查询订单|checking order
商家发货|products dispatch
待收货|waiting for product delivery
中可看到你的商品|You can see the merchandise
根据物流单号即可查到商品物流信息|you can track shipping status based on consigment number
第五步|the fifth step
去评价|go review
确认收货后|After Items received confirmation
可对商品进行评价|you can review the products 
或再次购买|Or buy again
快捷导航|Quick Navigation
个人资料|personal information
帮助中心|Help
拼团流程图|Group Buy flowchart
拼团流程|Group Buy Process
第一步|first step
选择拼团商品|Select the Group Buy merchandise
用户中心|User Center
进入|enter
拼团频道|Group Buy Channel
选择你喜欢的拼团商品|Choose your favorite Group Buy of goods
点击|Click on
去开团|To open group
有三种选择方式|There are three ways to select
顶部分类频道|Top Categories Channel
排行|ranking
首页广告位|Home advertising
第二步|The second step
团长发起拼团|Head of group launch group buy
选择好拼团商品|Choose a good Group Buy of goods
进入拼团商品页|Product page enter the Group Buy
查看拼团商品信息|View product information Group Buy
选择好商品属性|Choose a good product attributes
点击右下角|Click the lower right corner
人团|People group
进入|enter
订单确认|Order Confirmation
填写好收货地址|Fill out the shipping address
选择支付方式和配送方式|Select Payment and Delivery
核实好订单信息后点提交订单并且付款完成|After verifying the order information, click to submit the order and make the payment to complete
这样您的开团就成功了|Your group is successfully created
现在您就可以将拼团链接分享出去|Now you can share your Group Buy link
让更多的人来参团|Allow more people to join the group
参团|Join group
进入朋友分享的页面|Enter the page to share with friends
点击|Click on
立即参团|Join group now
付款后即为参团成功|you will be added to the group after payment
若多人同时支付|if more than one person make payment at the same time
按先支付成功的用户获得参团资格|the right to join the group will be based on first pay first join
第三步|third step
等待拼团目标人数|Waiting for the target number
你可以在|You can
用户中心|User Center
拼团状态栏|Group status bar
进入您正在拼团的商品|view products in your Group Buy
查看拼团进度|View Group Buy progress
参团人数达到拼团目标人数|When the number of participants reaches the target number
则此次拼团就成功了|then your Group Buy is is successful created
第四步|the fourth step
等待卖家发货|Waiting for seller to ship
确认收货即可|Just confirm the receipt
拼团失败|Group Buy Failed
在有效时间内未凑齐人数|Failure to gather the number of people within the time limit
即为组团失败|then your Group Buy failed
此时商城会将原款退回账户余额|the mall will return the original money to the account balance
快捷导航|Quick Navigation
个人资料|personal information
帮助中心|Help
拼团介绍|Group Buy introduction
拼团是一种基于微信社交的新型拼团的电商营销模式|Group Buy is a new type of e-commerce marketing model based on WeChat social networking
依靠朋友圈的飞速传播不但能迅速提升品牌影响|Relying on the rapid spread of the circle of friends can not only quickly increase the brand influence
还能促进消费者以分享|But also to promote consumer to share
拼团系统重磅来袭|Group Buy has gone viral
精心研发的拼团系统具有超强的吸粉与促销能力|The meticulously developed Group Buy system is very attractive and has strong promotional power
应用广泛|Wide range of applications
运行流畅|Running smoothly
极致体验为您迅速吸粉实现销量指数上涨|The ultimate experience for you to quickly increase your sales
超强吸粉能力的拼团模式|Super attractive Group By model
拼团具有超强的吸粉与促销能力|Group Buy system is very attractive and has strong promotional power
应用广泛|Wide range of applications
运行流畅|Running smoothly
极致体验为您迅速吸粉实现销量指数上涨|The ultimate experience for you to quickly increase your sales
系统特性功能|System Feature
拼团系统集合了海量商城最核心的功能|The grouping system integrates the core functions of mass shopping stores
接近原生|Near native
的交互式体验达到行业领先水准|Interactive experience reaches industry-leading standards
给用户不一样的购物体验|Give users a different shopping experience
全异步模式|Full asynchronous mode
完全独立商城|Completely independent Mall
用全异步模式|With full asynchronous mode
完全独立商城|Completely independent Mall
不依赖其他任何程序|Not dependent on any other software
不用|No need to
端一样能高效管理|terminal to be efficiently managed
并可根据需求|And on demand
自行选择是否需要与|Choose whether to
的数据库整合成同一个数据库|integrated into a single database
完美支持资金原路退回|Perfect support funds return through originate payment route
拼团系统完美支持资金原路退回|Group By System perfect supports funds return through originate payment route
帮助用户更好的管理资金去向|To help users better manage the money flow
强大的退换货功能|Powerful return and exchange function
拼团系统原生支持退换货功能|Group Buy System natively supports the return and exchange function
更好展现其平台优质服务|Better show the quality service of the platform
进一步提高用户忠诚度|Further improve customer loyalty
完善的客服反馈|flawless customer service feedback
拼团系统原生支持客服反馈功能|Group Buy System natively support customer feedback
快捷导航|Quick Navigation
个人资料|personal information
帮助中心|Help
多商户|Multi-merchant
多商户系统是一款由上海商创网络科技有限公司推出的商城系统|Multi-merchant system is a network Technology Co., Ltd. of Shanghai to launch the Shopping Mall
让商家即可自营亦可招募入驻商|Let merchants be a self-employed or recruit members
打造真正属于自己的垂直电商平台|To create a truly their own vertical business platform
全新的技术架构|The new technical architecture
全新的|New
设计|design
丰富的促销体系各项新功能从根源上解决了电商企业普遍存在的推广|Various new functions of the rich promotion system have solved the widespread promotion of e-commerce enterprises from the root
招商|Merchants
盈利等问题|Profit and other issues
供应商店铺与平台店铺共存模式|Coexistence model between supplier stores and platform stores
极大的丰富了平台商品|Greatly enriched platform products
是企业开展平台类型电商业务的最佳选择|It is the best choice for enterprises to develop platform type e-commerce business
下图为首页图展示|The following picture shows the home page
四大个性化优质特点|Four high-quality personalized features
完善的系统功能机制|Perfect system function mechanism
多商户整合了众多核心功能|Multi-merchants integrate many core functions
产品体验方面达到了行业最高水准|Product experience aspects of the industry reached the highest level
让用户轻松享受顶级电商系统中的所有强悍功能|Allowing users to easily enjoy all the powerful features of the system's top electricity supplier
完整的电商生态模式|Complete electricity supplier ecological model
多商户结合|Multi-merchant combination
信息|information
资金|funds
实物|Kind
的三位一体思路|Trinity ideas
从平台到入驻商家|From the platform to the business settled
再到终端顾客|And then to the end customer
形成一个完整的电商生态模式|To form a complete eco-mode electric provider
大数据下集群技术部署方案|Big Data clustered technology deployment programs
快捷导航|Quick Navigation
个人资料|personal information
帮助中心|Help
浏览记录|History
清空|Clear
此处没有内容|There is no content here
快捷导航|Quick Navigation
清除搜索记录|Clear search history
真的要清空浏览记录|Really want to clear the browsing history
确定|confirm
取消|cancel
温馨提示|notification
恭喜拍卖中的商品|Congratulations to auction goods
消息|News
我的订单|My Order
全部订单|All Orders
待付款|Pending payment
待拼团|Pending Group Buy
待收货|awaiting product delivery
待评价|awaiting review
退换货|Product Return
我的钱包|My Wallet
资金管理|Money management
余额|Balance
红包|Red envelope
积分|points
优惠券|coupon
分页器|Pager
收藏的商品|Collection of goods
关注的店铺|Store followed
我的分享|My Share
服务中心|Service Center
我的微店|My WeShop
我的微筹|My WeChou
拼团频道|Group Buy Channel
商家入驻|New Merchants
浏览记录|History
礼品卡|gift card
我的提货|My pickup
我的砍价|My bargain
我的批发|My Wholesale
我的采购单|My purchase orders
我的采购单|My purchase orders
采购单退换货|Purchase Order Returns
首页|Home
分类|classification
搜索|search
购物车|shopping cart
中心|center
社区|community
悬浮菜单|Float Menu
店铺信息商品滚动|store info product ticker
清除搜索记录|Clear search history
增票资质信息|Ticket qualification information
单位名称|company name
请输入单位名称|Enter a Name
请输入单位名称|Enter a Name
纳税人识别码|Taxpayer identification number
请输入纳税人识别码|Enter the taxpayer identification number
请输入纳税人识别码|Enter the taxpayer identification number
注册地址|Registered address
请输入注册地址|Enter the registered address
请输入注册地址|Enter the registered address
注册电话|Telephone registration
请输入注册电话|Enter the registered phone
请输入注册电话|Enter the registered phone
开户银行|Bank
请输入开户银行|Please enter the bank
请输入开户银行|Please enter the bank
银行账户|Bank accounts
请输入银行账户|Please enter the bank account
请输入银行账户|Please enter the bank account
票据收件信息|Bill receipt information
姓名|Full name
请输入姓名|Please type in your name
请输入姓名|Please type in your name
手机号|phone number
请输入手机号|Please enter phone number
请输入收票人手机号|Please enter the recipient's mobile phone number
请选择地区|please select the region
所在地区|Region
请选择地区|please select the region
详细地址|Address
请输入详细地址|Please enter the full address
请输入详细地址|Please enter the full address
提交|submit
地区选择|Select area
地区选择|Select area
快捷导航|Quick Navigation
增票资质信息|By votes qualification information
单位名称|company name
纳税人识别码|Taxpayer identification number
注册地址|Registered address
注册电话|Telephone registration
开户银行|Bank
银行账户|Bank accounts
票据收件信息|Notes recipient information
姓名|Full name
手机号|phone number
所在地区|Region
详细地址|Address
审核状态|Approval Status
未审核|Not reviewed
通过审核|Approved
审核未通过|Not approved by
删除|delete
修改|modify
新增|New
地区选择|Select area
地区选择|Select area
快捷导航|Quick Navigation
请输入完整的信息|Please enter complete information
是否删除增值发票|Delete Tax invoices
确定|confirm
取消|cancel
说点什么吧|say something
提交|submit
第三方输入法兼容问题|Third-party input method compatibility issues
未处理|pending
用户取消|User canceled
无效举报|Report invalid
恶意举报|Malicious Report
有效举报|valid report
举报类型|Report Types
举报主题|Report title
查看详情|see details
取消|cancel
删除|delete
还没有订单哦|Oh no orders
快捷导航|Quick Navigation
订单列表|Order List
删除订单|Delete Orders
是否确定删除|Are you sure to delete
确定|confirm
取消|cancel
帮助中心|Help
仲裁|arbitration
违规举报|report of abusement
已经有|already have
人关注|Followers
取消关注|unsubscribe
商品|products
服务|service
时效|time limit
还没有收藏店铺哦|no favorite shop yet
快捷导航|Quick Navigation
店铺街|Market
关于商城|About Mall
商城介绍|Mall Introduction
购物流程|shopping process
微信通玩法|WeiXin Tong Rules
微信通介绍|WeXin Tong Introuduction
微信通流程|WeiXin Tong procudure
微分销玩法|WeiXin Distribution Rules
微分销介绍|WeiXin Distribution Introduction
微分销流程|WeiXin Distribution Procedure
拼团玩法|Group Buy Rules
拼团介绍|Group Buy introduction
拼团流程|Group Buy Procedure
在线客服|online agent
咨询客服|Contact Customer Service
常见问题|common problem
订单已提交成功|Orders submitted successfully
什么时候可以送到|ETA
一般|general
天可以到货|Days to arrive
新疆|Xinjiang
西藏|Tibet
内蒙古等偏远地区到货时间为|Inner Mongolia and other remote areas, the arrival time for
海外购订单一般|Overseas purchase orders in general
天到货|Day of arrival
您可以在订单跟踪页面查看具体物流信息|You can view specific logistics information on the order tracking page
如右图|At right
我们的商品是否可以退换货|Whether we can return goods
我的商品是否可以退换货|Whether I can return goods
我们承诺符合以下情况|We are committed to comply with the following conditions
自客户收到商品之日起|From the date the customer receives the goods
日内可以退货|Days can return
日内可以换货|Days can be exchanged
客户可在线提交返修申请办理退换货事宜|Customers can submit a repair application online for return and exchange matters
国家三包所规定的功能性故障|Functional failures stipulated by the National Three Guarantees
经由生产厂家指定或特约售后服务中心检测确认|Tested and confirmed by the manufacturer's designated or special after-sales service center
并出具检测报告|And issue a test report
到货物流损或缺件情况|loss or damaged during transportation
物流损指在运输过程中造成的损坏|Logistics damage refers to damage caused during transportation
漏液|Leak
破碎|broken
性能故障|not in working order
经售后人员核查情况属实|After-sales staff to verify that is true
期间可能需要快递人员证明或要求您提供实物照片等|During the period, you may asked to provide a certificate from the courier or a proof photo, etc.
以便售后人员快速做出判断及时处理|So that after-sales personnel can quickly make judgments and deal with them in time
无条件办理退换货事宜|Unconditional return policy matters handled
后台添加|Add at backend
快捷导航|Quick Navigation
个人资料|personal information
根据手机找回|retrieve based on phone number
请输入新密码|Please enter a new password
请再输入一次新密码|Please enter a new password
确认修改|Confirm the changes
请填写新密码|Please fill in the new password
新密码不能小于|The new password can not be less than
请确认新密码|Confirm New Password
两次密码不一致|Passwords are not the same
用户名|username
手机号|phone number
邮箱|email
请输入图片验证码|Please enter the image verification code
请输入验证码|please enter verification code
下一步|The next step
请输入用户信息|Please enter your user information
请输入验证码|please enter verification code
验证码不正确|Incorrect verification code
根据邮箱找回|According to the email to retrieve
用户名|username
邮箱|email
输入验证码|Enter confirmation code
发送验证码|Send the verification code
下一步|The next step
用户名|username
手机号码|mobile number
输入验证码|Enter confirmation code
发送验证码|Send the verification code
下一步|The next step
提交检验|Submit inspection
请填写验证码|Please fill in the verification code
发送验证码|Send the verification code
请输入用户名|please enter user name
请输入用户名|please enter user name
请输入您的用户名|Please enter your username
手机号|phone number
请输入密码|Please enter your password
密码至少|Password least
位数|Digit
请输入|please enter
位登录密码|Digit password
立即登录|log in immediately
手机号快捷登录|Phone number login
忘记密码|forget password
新用户注册|New User Registration
快捷登录|quick login
手机号快捷登录|Phone number login
请输入图片验证码|Please enter the image verification code
请输入图片验证码|Please enter the image verification code
请输入手机号码|Please enter the phone number
手机号码格式不正确|The phone number is not formatted correctly
请输入手机号|Please enter phone number
获取短信验证码|obtain SMS verification code
请输入短信验证码|Please enter the verification code SMS
请输入短信验证码|Please enter the verification code SMS
登录|log in
若手机号未注册|If the phone number is not registered
则默认注册账号|The default registered account
密码为短信验证码|Password for the SMS verification code
引用|Quote
发送验证码|Send the verification code
重新获取|Reacquire
请输入图片验证码|Please enter the image verification code
请输入手机号|Please enter phone number
请输入有效的手机号|please input valid mobile phone number
发送频繁|Send frequent
刷新图片验证码|Refresh image verification code
请输入手机号码|Please enter the phone number
手机号码格式不正确|The phone number is not formatted correctly
请输入手机号|Please enter phone number
请设置|Please set
位登录密码|Digit password
密码至少|Password least
位数|Digit
请设置|Please set
位登录密码|Digit password
请输入图形验证码|Please enter the captcha code
请输入图形验证码|Please enter the captcha code
请输入短信验证码|Please enter the verification code SMS
请输入短信验证码|Please enter the verification code SMS
获取短信验证码|obtain SMS verification code
注册即视为同意|Registration is deemed to agree
用户注册协议|User Registration Agreement
引用|Quote
发送验证码|Send the verification code
重新获取|Reacquire
请输入图形验证码|Please enter the captcha code
请输入手机号|Please enter phone number
请输入有效的手机号|please input valid mobile phone number
发送频繁|Send frequent
切换|Switch
注册协议文章|Registration Agreement Article
弹窗页面层|Popup layer
关闭|close
维修|service
退货|Returns
换货|Replacement
引用|Quote
未处理|pending
待申诉|Pending appeal
对话中|Dialogue
完成|completed
商品|products
换货属性|Replacement attribute
纠纷类型|Types of disputes
纠纷类型不能为空|Types of disputes can not be empty
请选择|please choose
问题描述|Problem Description
请填写问题描述|Please fill in the description of issue
详细信息|details
纠纷类型|Types of disputes
投诉时间|Complaints Time
问题描述|Problem Description
初步审核时间|Preliminary review time
请输入您要发布的内容|Please enter the content you want to publish
发布对话|Publish dialogue
图片信息|image information
上传凭证|upload certificate
图片放大|enlarge image
为了能够更快更好地解决问题|In order to be able to solve problems faster and better
请您上传与卖家沟通的记录图片或者其他证明图片|please upload proof of communication with buyers or other proof photos
服务说明|Service Description
尊敬的用户|respected user
为了更好的解决您的问题|In order to better solve your problem
请您在问题描述中反馈具体纠纷问题|Make your feedback specific disputes in issue statement
并上传相关证据图片|And upload relevant evidence picture
避免上传外部链接等内容|Avoid uploading content of external links, etc.
以免耽误您的纠纷处理|So as not to delay your disputes
确认提交|confirm submission
问题已经解决|issue has been resolved
快捷导航|Quick Navigation
引用|Quote
显示删除图片|Delete pictures
检查谈话|Check the conversation
发布对话|Publish dialogue
可申请订单|You may apply for orders
已申请订单|It has applied for an order
订单号|order number
拼团标识|Group Buy Logo
拼团订单|Group Buy Orders
拼团标识|Group Buy Logo
款商品|products
合计|total
交易纠纷|Dispute transaction
删除|delete
还没有订单哦|Oh no orders
快捷导航|Quick Navigation
订单列表|Order List
删除订单|Delete Orders
是否删除此订单|Remove this order
确定|confirm
取消|cancel
门店自提码|Stores pickup code
提货码|Delivery code
服务电话|service line
营业时间|Hours
联系客服|Contact Customer Service
订单号|order number
拼团标识|Group Buy Logo
拼团失败|Group Buy Failed
拼团标识|Group Buy Logo
配件标识|Accessories logo
配件|Accessories
赠品|Gifts
配件标识|Accessories logo
配件|Accessories
赠品|Gifts
商品优惠|Product deals
卡号|card number
密码|password
截止日期|deadline
查看卡密|Card Password
配件标识|Accessories logo
配件|Accessories
赠品|Gifts
卡号|card number
密码|password
截止日期|deadline
查看卡密|Card Password
超级礼包|Super Gift Pack
礼包|Package
超级礼包|Super Gift Pack
套餐价|Package price
已优惠|discounted
超级礼包|Super Gift Pack
配送方式|Delivery Method
门店自提|Stores pickup
自提点|pickup location
联系人|Contact
联系电话|contact number
地址|address
到达线路|Arrival line
提货时间|pickup time
商品包装|Product packaging
买家留言|Buyers message
支付方式|payment method
手续费|Fees
支付方式|payment method
切换支付方式|Switching Payment
手续费|Fees
发票类型|invoice type
增值发票|Tax invoices
发票信息|Invoice Information
税率金额|Tax amount
发票抬头|Invoice
发票内容|invoice content
红包|Red envelope
红包金额|The amount of red envelopes
优惠券|coupon
免邮券|Free postage coupons
优惠券金额|Coupon amount
折扣|discount
配送费用|Shipping fees
使用积分|Use Points
使用红包|Use red envelopes
使用储值卡|Using a Card
使用优惠券|use a coupon
减免运费|Free Shipping
延迟收货|Delivery Delay
悬浮|float
应付总额|The total amount payable
订单过期|Orders expired
立即付款|Pay Now
悬浮|float
快捷导航|Quick Navigation
我的订单|My Order
延迟收货|Delivery Delay
是否延迟收货此订单|Whether to delay receipt of this order
确定|confirm
取消|cancel
秒后自动关闭|seconds will shut down automatically
确认订单|Confirm Order
你确认已经收到货物了吗|Are you sure you have received the goods?
确定|confirm
取消|cancel
取消订单|cancel order
确定要取消该订单吗|Sure you want to cancel the order
取消后将视为无效订单|order is invalid after cancellation
取消订单|cancel order
再考虑下|Reconsider
点击查看自提点信息|Click to view pickup location info
全部订单|All Orders
待付款|Pending payment
待收货|awaiting delivery
订单号|order number
拼团标识|Group Buy Logo
拼团订单|Group Buy Orders
拼团标识|Group Buy Logo
砍价标识|Bargain logo
砍价订单|Bargain Order
砍价标识|Bargain logo
配件|Accessories
赠品|Gifts
款商品|products
合计|total
延迟收货|Delivery Delay
申请售后|Apply after-sale
查看订单|check order
删除|delete
删除|delete
立即支付|pay immediately
还没有订单哦|Oh no orders
快捷导航|Quick Navigation
订单列表|Order List
延迟收货|Delivery Delay
是否延迟收货此订单|Whether to delay receipt of this order
确定|confirm
取消|cancel
秒后自动关闭|seconds will shut down automatically
删除订单|Delete Orders
是否删除此订单|Remove this order
确定|confirm
取消|cancel
确认订单|Confirm Order
你确认已经收到货物了吗|Are you sure you have received the goods?
确定|confirm
取消|cancel
取消订单|cancel order
确定要取消该订单吗|Sure you want to cancel the order
取消后将视为无效订单|order is invalid after cancellation
取消订单|cancel order
再考虑下|Reconsider
对话记录|Conversations
登录|log in
微博登录|Weibo login
微信登录|Log in Wechat
登录|log in
一键登录|One-click login
更方便|more convenient
更快捷|faster
已经绑定|Already bound
已绑定|Bound
解绑|Unbundling
去绑定|Unbinding
解绑后|After unbinding
将不能快捷登录网站|no fast login
请谨慎操作|Proceed with caution
没有第三方授权登录插件|No third-party plug-ins unauthorized access
快捷导航|Quick Navigation
账户安全|account security
点击|Click on
询问框|Query box
您确定要解绑此会员帐号吗|Are you sure you want to unbind this member logins
确定|confirm
取消|cancel
解绑|Unbundling
解绑|Unbundling
关联商城账号|Account associated Mall
新注册用户系统会默认分配一个主账号且自动关联|The newly registered user system will assign a master account by default and automatically linked
如果在商城已经注册过账号的|If you have already registered an account at the mall
可在此重新关联已注册的账号|You can re-link the registered account here
关联可快捷登录商城|use linked account helps you log in to the Mall quickly
网站和|Website and
账号|account number
并可享受网站会员特权等|and can enjoy website member privileges, etc.
商城承诺保障您的账号隐私安全|Mall commitment to protect your account privacy
验证信息|verify message
关联完成|link completed
请输入用户名或手机号|Please enter your user name or phone number
不能输入特殊字符|You can not enter special characters
用户名|username
手机号|phone number
请输入图片验证码|Please enter the image verification code
请输入验证码|please enter verification code
请输入密码|Please enter your password
请输入您的密码|please enter your password
确定关联|confirm the association
忘记密码|forget password
当前登录账号|The current login account
用户名|username
手机|Mobile phone
已关联账号|Linked Account
